1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
32340,16301,8143,4172,2050,1103,518,255,139,55,23,22,10,4,6,2,0,0,0,0
31870,16332,8143,4125,2099,1127,560,274,153,74,29,24,10,8,3,1,0,0,0,0
32211,16128,8183,4133,2101,1121,515,260,144,65,27,32,13,10,4,0,2,2,0,0
32357,16504,8166,4150,2053,1018,496,260,120,65,37,18,3,5,1,0,0,0,1,0
32651,16526,8077,4135,2051,1106,496,254,131,64,30,15,8,4,3,2,1,1,0,0
32655,16654,8167,4083,2006,1042,477,247,113,68,34,18,8,4,3,2,0,0,0,0
32461,16429,8061,4191,2087,1036,510,256,120,67,34,22,9,2,2,1,1,0,0,0
32322,16600,8282,4069,2100,1005,480,243,128,67,24,19,9,5,0,0,1,0,0,0
32235,16096,8113,4134,2062,1106,560,274,130,70,28,12,10,12,5,2,1,0,0,0
32118,16167,8043,4085,2147,1079,509,288,143,76,40,19,8,7,1,1,2,1,0,0
32040,16239,8094,4100,2079,1074,550,284,138,69,33,19,15,9,1,1,0,0,0,0
32606,16433,8275,4182,2041,1048,498,271,121,61,31,16,10,2,3,0,0,1,0,0
31997,16073,8072,4078,2088,1053,528,278,172,71,34,28,13,3,3,1,0,2,0,0
32005,16230,8060,4141,2095,1125,537,274,127,76,36,24,11,4,5,0,0,0,1,0
31720,16033,7979,4110,2080,1082,567,285,173,86,36,22,11,6,4,2,0,0,0,1
32146,16532,8226,4109,2044,1041,492,229,134,76,29,15,7,6,2,0,0,2,0,0
32241,16517,8299,4240,2034,1052,504,278,128,80,27,20,9,3,1,2,1,0,1,0
32168,16217,8160,4136,2135,1106,589,267,138,77,42,14,14,4,0,1,1,0,0,0
32016,16336,8317,4316,2166,1119,553,310,143,85,47,16,9,13,4,2,1,3,0,0
32356,16225,8124,4109,2096,1052,529,257,131,71,38,21,10,6,4,3,0,0,0,0
32434,16464,8016,4257,2008,1061,522,252,128,57,35,18,11,7,2,0,1,0,0,0
31992,16099,7969,4107,2055,1114,563,279,152,80,51,16,20,2,5,1,0,0,1,0
31028,15616,7992,4194,2300,1186,590,318,180,107,50,33,30,10,8,5,1,1,1,2
32251,16265,8100,4172,2069,1084,511,259,138,71,49,20,11,7,1,0,1,0,0,0
32010,16268,8092,4127,2136,1023,523,278,125,74,40,12,10,6,4,6,0,0,0,0
32593,16404,8217,4066,1992,1053,469,247,130,63,37,14,5,7,0,3,0,0,0,0
31713,15904,7962,4173,2013,1113,541,318,160,88,43,25,16,9,3,3,1,1,1,1
32407,16293,8161,4098,2087,1040,503,286,160,56,44,13,6,3,1,4,1,0,0,0
32348,16267,8031,4148,2093,1087,519,245,144,74,36,19,8,2,4,0,0,0,0,0
32233,16331,8176,4255,2048,1037,521,276,144,54,32,14,8,7,2,1,0,0,0,1
