1,2,3,4
65718,64985,64985,66454
63718,63484,63485,71455
61736,63508,63508,73390
60649,64379,64380,72734
65944,65438,65438,65322
60043,64645,64646,72808
66253,64608,64608,66673
59581,64484,64485,73592
65417,63723,63724,69278
66870,63901,63902,67469
66910,63785,63786,67661
65149,65482,65483,66028
63263,62766,62767,73346
67402,63597,63597,67546
67206,62970,62970,68996
65680,64811,64811,66840
66129,65423,65423,65167
64544,64119,64120,69359
68162,64809,64809,64362
61089,63667,63668,73718
65465,65075,65076,66526
66639,63429,63430,68644
71691,61502,61503,67446
67088,63919,63919,67216
66934,63719,63719,67770
59054,64232,64233,74623
67932,62406,62407,69397
66412,64533,64534,66663
66081,64696,64697,66668
65705,64929,64929,66579
66114,65222,65223,65583
68044,64436,64437,65225
65502,65297,65297,66046
66221,64863,64863,66195
63698,65065,65066,68313
63333,65103,65104,68602
65702,65293,65294,65853
65439,65322,65322,66059
65782,65069,65069,66222
65864,65188,65189,65901
65837,65287,65288,65730
67158,64289,64289,66406
66149,65121,65122,65750
65585,65072,65073,66412
66359,64577,64578,66628
65501,65164,65164,66313
65523,65438,65438,65743
65236,65322,65322,66262
65863,65005,65006,66268
64894,65481,65481,66286
66441,64768,64769,66164
66299,64480,64481,66882
66441,64487,64487,66727
66620,64387,64388,66747
66087,64881,64882,66292
66794,64471,64471,66406
66987,64021,64021,67113
67797,62994,62995,68356
65373,65265,65266,66238
68166,62077,62077,69822
65816,64373,64373,67580
65362,65220,65220,66340
67713,62936,62936,68557
66969,63848,63848,67477
65364,65316,65317,66145
65754,65210,65210,65968
65560,64745,64746,67091
65945,64832,64832,66533
65996,64889,64890,66367
65711,65388,65389,65654
66603,64363,64363,66813
67712,64006,64006,66418
65866,64686,64686,66904
66082,64620,64620,66820
65497,65219,65220,66206
65384,65386,65387,65985
66184,64402,64402,67154
66127,64739,64740,66536
66277,64864,64865,66136
66050,65398,65399,65295
65348,65659,65660,65475
65205,65580,65581,65776
66266,64439,64440,66997
65368,65427,65427,65920
65519,65317,65317,65989
65642,65328,65329,65843
65736,65282,65282,65842
65837,64920,64921,66464
65373,65281,65282,66206
65650,65185,65185,66122
65590,65464,65465,65623
65735,65195,65195,66017
65499,65287,65287,66069
65329,65397,65397,66019
65395,65257,65258,66232
65404,65428,65429,65881
65208,65399,65400,66135
65056,65749,65750,65587
65491,65420,65420,65811
65482,65268,65268,66124
65278,65337,65338,66189
65276,65496,65496,65874
65263,65392,65392,66095
65340,65121,65121,66560
65711,65367,65367,65697
65791,65076,65076,66199
65700,65205,65205,66032
65703,64991,64992,66456
65631,65018,65019,66474
65400,65088,65088,66566
66112,64945,64945,66140
66744,64287,64287,66824
65322,65441,65441,65938
65565,65301,65302,65974
65475,65408,65409,65850
66618,64476,64476,66572
65839,65355,65355,65593
64922,65698,65699,65823
65418,65530,65530,65664
65435,65438,65439,65830
67634,64950,64951,64607
65785,65308,65309,65740
65208,65565,65566,65803
65856,65120,65120,66046
66231,64992,64992,65927
66930,63723,63723,67766
65909,64514,64514,67205
67076,64592,64593,65881
65830,63745,63746,68821
65267,65008,65008,66859
67046,64071,64072,66953
65584,65149,65150,66259
65384,65249,65249,66260
65129,65387,65387,66239
65299,65272,65272,66299
65861,65304,65305,65672
66357,64987,64988,65810
65868,65486,65486,65302
65530,65499,65499,65614
65709,65242,65243,65948
65432,65257,65258,66195
65680,65296,65296,65870
66243,65037,65037,65825
66019,64837,64838,66448
66916,64288,64288,66650
66115,65043,65044,65940
65430,65329,65329,66054
65652,65229,65229,66032
65592,65226,65226,66098
65663,65131,65132,66216
66119,65170,65171,65682
66269,64739,64739,66395
66094,64413,64414,67221
66414,64752,64752,66224
66019,64686,64687,66750
65622,65279,65279,65962
65826,64886,64886,66544
65149,65580,65581,65832
66198,64680,64680,66584
66304,65074,65075,65689
65147,65261,65262,66472
65432,64975,64975,66760
69322,64447,64448,63925
65996,64921,64921,66304
65760,65312,65313,65757
66558,63963,63964,67657
65630,65402,65402,65708
65328,65618,65618,65578
65514,65087,65087,66454
65992,64882,64883,66385
65162,65525,65526,65929
66281,64430,64431,67000
66830,64121,64121,67070
67276,63960,63961,66945
66369,64607,64608,66558
65347,65309,65310,66176
68169,63435,63436,67102
65700,65361,65362,65719
67480,63364,63364,67934
66313,64236,64236,67357
65557,65326,65327,65932
65201,65438,65439,66064
65930,64668,64669,66875
66122,64353,64353,67314
65062,65516,65517,66047
65556,65210,65210,66166
65532,65456,65457,65697
65062,65559,65560,65961
66469,64214,64215,67244
66709,64333,64334,66766
65081,64943,64943,67175
65990,64847,64848,66457
65899,65208,65209,65826
66256,64707,64707,66472
64652,65810,65810,65870
65516,65023,65024,66579
66075,64991,64992,66084
65238,65370,65371,66163
62886,63285,63286,72685
64995,65570,65571,66006
67274,63340,63341,68187
65366,65228,65229,66319
65645,64832,64833,66832
65447,65423,65424,65848
65671,65177,65177,66117
67513,63552,63553,67524
65487,65237,65238,66180
66079,64922,64922,66219
65262,65595,65595,65690
66893,63783,63784,67682
66386,64168,64168,67420
66395,65118,65118,65511
65376,65208,65209,66349
65714,65213,65214,66001
65683,65244,65244,65971
65791,64325,64326,67700
65372,65626,65626,65518
66079,65067,65068,65928
65342,65659,65659,65482
65423,65330,65330,66059
66602,64243,64244,67053
65575,64613,64614,67340
65343,65512,65513,65774
65991,64960,64961,66230
65602,65399,65399,65742
66296,64570,64571,66705
66698,64079,64079,67286
66432,64296,64297,67117
73051,60024,60024,69043
65793,65362,65362,65625
67671,59755,59756,74960
68893,62485,62486,68278
66763,64035,64035,67309
66408,64227,64228,67279
66031,65178,65178,65755
65520,65314,65315,65993
65660,64262,64263,67957
65257,65578,65579,65728
65335,64750,64751,67306
65631,65424,65425,65662
65787,64493,64493,67369
65548,65436,65436,65722
65186,65572,65572,65812
65375,64908,64908,66951
66054,64472,64472,67144
65636,65237,65237,66032
65171,65636,65636,65699
65814,65148,65149,66031
65687,65031,65031,66393
64972,65208,65208,66754
66296,64877,64877,66092
66594,64342,64342,66864
72882,63152,63152,62956
65295,65560,65561,65726
65956,63514,63515,69157
65250,65718,65719,65455
66361,64638,64639,66504
65612,65531,65532,65467
65239,65537,65537,65829
81580,61222,61222,58118
64877,65793,65793,65679
65308,65664,65664,65506
65146,65586,65587,65823
65767,64945,64946,66484
85108,60792,60792,55450
64912,65443,65444,66343
65447,65139,65139,66417
65889,64361,64362,67530
56368,61937,61938,81899
62737,64017,64018,71370
65528,65492,65493,65629
65432,65454,65455,65801
65166,65653,65653,65670
65512,65222,65222,66186
67734,63894,63894,66620
66050,64993,64994,66105
65180,64992,64993,66977
65736,65090,65090,66226
65212,65328,65328,66274
66019,64584,64585,66954
65715,64882,64882,66663
66157,65230,65230,65525
65501,65482,65483,65676
65581,65318,65319,65924
65806,65103,65103,66130
66598,64760,64761,66023
65668,65554,65555,65365
65120,65603,65603,65816
65178,65543,65543,65878
65215,65315,65315,66297
65523,64981,64982,66656
65662,65221,65222,66037
65659,65417,65417,65649
65685,65387,65388,65682
65460,65043,65043,66596
65483,65543,65543,65573
65859,64956,64956,66371
73129,63205,63205,62603
65447,65053,65053,66589
65753,64911,64912,66566
66183,65165,65166,65628
65182,65326,65327,66307
66482,64999,64999,65662
73170,63519,63520,61933
65737,65002,65003,66400
65032,65510,65510,66090
65336,65530,65531,65745
65324,65372,65372,66074
65536,65522,65523,65561
66331,64430,64431,66950
66645,65091,65092,65314
65090,65586,65586,65880
65376,65409,65410,65947
65405,65564,65564,65609
65430,65499,65500,65713
66121,64665,64665,66691
65344,65481,65481,65836
65452,65426,65427,65837
69333,64228,64228,64353
65772,65062,65062,66246
65257,65524,65524,65837
65275,65252,65252,66363
65371,65590,65591,65590
62625,63850,63851,71816
65915,64938,64938,66351
66203,64877,64877,66185
65242,65654,65654,65592
65562,65279,65280,66021
65927,65215,65216,65784
65480,65449,65450,65763
65221,65359,65360,66202
66005,64769,64769,66599
65024,65510,65511,66097
64960,65550,65550,66082
65144,65557,65557,65884
65855,65278,65278,65731
65198,65617,65617,65710
66562,63918,63918,67744
65086,65477,65478,66101
64510,64941,64942,67749
64810,65676,65676,65980
65381,65514,65514,65733
65372,65344,65345,66081
66968,64467,64468,66239
65661,65231,65232,66018
65387,65066,65067,66622
65584,65371,65372,65815
65216,65546,65546,65834
65403,65464,65464,65811
65630,65564,65564,65384
65386,65497,65497,65762
65273,65323,65323,66223
65328,65687,65687,65440
65074,65485,65485,66098
65712,65436,65436,65558
65862,65240,65241,65799
65502,65561,65562,65517
65324,65499,65500,65819
58915,64283,64284,74660
51356,62578,62579,85629
77396,62395,62395,59956
92980,58480,58481,52201
65301,65342,65342,66157
