Image Name,series length 1,series length 2,series length 3,series length 4,series length 5,series length 6,series length 7,series length 8,series length 9,series length 10,series length 11,series length 12,with message
Image00001.tif,65563.0,32887.0,16238.0,8043.0,4173.0,2059.0,1047.0,535.0,285.0,128.0,50.0,23.0,1.0
Image00002.tif,63131.0,31247.0,15580.0,8009.0,4242.0,2278.0,1210.0,637.0,360.0,211.0,124.0,75.0,1.0
Image00003.tif,63428.0,31092.0,15454.0,7981.0,4129.0,2141.0,1297.0,708.0,404.0,209.0,114.0,68.0,1.0
Image00004.tif,63313.0,30875.0,15614.0,7781.0,4148.0,2327.0,1206.0,689.0,374.0,232.0,149.0,59.0,1.0
Image00005.tif,65905.0,32631.0,16371.0,8022.0,4192.0,2035.0,1023.0,541.0,261.0,125.0,59.0,30.0,1.0
Image00006.tif,63569.0,31280.0,15617.0,8037.0,4116.0,2169.0,1122.0,681.0,342.0,232.0,141.0,89.0,1.0
Image00007.tif,64553.0,32575.0,16151.0,8334.0,4121.0,2055.0,1120.0,541.0,279.0,135.0,54.0,40.0,1.0
Image00008.tif,63594.0,30688.0,15559.0,7949.0,4027.0,2225.0,1262.0,709.0,374.0,213.0,159.0,78.0,1.0
Image00009.tif,64340.0,32157.0,16008.0,8019.0,4165.0,2154.0,1048.0,606.0,345.0,149.0,103.0,50.0,1.0
Image00010.tif,64759.0,31880.0,16306.0,8154.0,4190.0,2076.0,1116.0,598.0,283.0,142.0,88.0,43.0,1.0
Image00011.tif,64544.0,32250.0,16144.0,8145.0,4160.0,2161.0,1173.0,555.0,277.0,139.0,75.0,39.0,1.0
Image00012.tif,65440.0,32721.0,16232.0,8193.0,4094.0,2048.0,1014.0,536.0,262.0,128.0,69.0,57.0,1.0
Image00013.tif,63165.0,30837.0,15717.0,8094.0,4193.0,2194.0,1220.0,726.0,378.0,207.0,128.0,68.0,1.0
Image00014.tif,63480.0,32156.0,16144.0,8280.0,4216.0,2147.0,1166.0,582.0,311.0,155.0,68.0,33.0,1.0
Image00015.tif,64141.0,31939.0,16087.0,8194.0,4223.0,2127.0,1107.0,598.0,315.0,165.0,75.0,49.0,1.0
Image00016.tif,64807.0,32661.0,16385.0,8156.0,4043.0,2087.0,1092.0,526.0,271.0,158.0,69.0,31.0,1.0
Image00017.tif,65195.0,32708.0,16847.0,8179.0,4054.0,2043.0,983.0,500.0,269.0,117.0,57.0,22.0,1.0
Image00018.tif,64232.0,31389.0,15928.0,8036.0,4122.0,2182.0,1154.0,593.0,365.0,203.0,99.0,79.0,1.0
