iter	Passed	Remaining
0	2	2148
1	4	2065
2	6	2152
3	8	2186
4	10	2118
5	12	2032
6	14	1990
7	15	1961
8	17	1924
9	19	1913
10	21	1906
11	23	1939
12	25	1956
13	27	1948
14	29	1943
15	31	1921
16	32	1905
17	34	1891
18	36	1884
19	38	1886
20	40	1898
21	42	1904
22	44	1895
23	46	1889
24	48	1884
25	50	1879
26	52	1876
27	54	1875
28	55	1870
29	57	1858
30	59	1853
31	60	1842
32	62	1830
33	64	1819
34	65	1809
35	67	1799
36	68	1795
37	70	1790
38	72	1783
39	73	1774
40	75	1765
41	77	1757
42	78	1753
43	80	1745
44	81	1738
45	83	1731
46	85	1726
47	86	1722
48	88	1716
49	90	1710
50	91	1704
51	93	1699
52	94	1693
53	96	1688
54	97	1683
55	99	1679
56	101	1677
57	102	1672
58	104	1667
59	106	1662
60	107	1657
61	109	1652
62	110	1648
63	112	1643
64	113	1639
65	115	1640
66	117	1638
67	119	1634
68	121	1633
69	122	1629
70	124	1625
71	125	1622
72	127	1617
73	128	1613
74	130	1612
75	132	1615
76	134	1612
77	136	1609
78	137	1606
79	139	1601
80	140	1597
81	142	1593
82	143	1589
83	145	1584
84	147	1589
85	149	1586
86	150	1583
87	152	1580
88	154	1576
89	155	1573
90	157	1569
91	158	1566
92	160	1563
93	161	1560
94	163	1561
95	165	1558
96	166	1554
97	168	1554
98	170	1554
99	173	1557
100	174	1555
101	176	1552
102	178	1556
103	183	1577
104	185	1580
105	187	1582
106	189	1583
107	191	1583
108	194	1588
109	196	1589
110	198	1586
111	199	1583
112	201	1579
113	202	1576
114	204	1572
115	205	1568
116	207	1565
117	209	1565
118	211	1562
119	212	1559
120	214	1555
121	215	1551
122	217	1548
123	218	1544
124	220	1541
125	221	1538
126	223	1535
127	225	1534
128	226	1531
129	228	1528
130	229	1525
131	231	1521
132	232	1518
133	234	1515
134	235	1511
135	237	1508
136	239	1507
137	240	1505
138	242	1502
139	244	1499
140	245	1496
141	247	1493
142	248	1490
143	250	1487
144	251	1484
145	253	1481
146	255	1482
147	257	1480
148	258	1478
149	260	1474
150	261	1472
151	263	1469
152	264	1466
153	266	1463
154	267	1460
155	269	1457
156	271	1458
157	273	1456
158	274	1454
159	276	1451
160	277	1448
161	279	1445
162	280	1442
163	283	1443
164	285	1443
165	287	1443
166	289	1441
167	290	1438
168	292	1435
169	293	1433
170	295	1430
171	296	1428
172	298	1425
173	299	1423
174	301	1421
175	303	1421
176	305	1420
177	307	1418
178	308	1416
179	310	1413
180	312	1413
181	313	1410
182	315	1407
183	317	1408
184	319	1407
185	321	1405
186	322	1403
187	324	1400
188	325	1397
189	327	1394
190	328	1392
191	330	1389
192	331	1387
193	333	1385
194	335	1383
195	336	1381
196	338	1378
197	339	1376
198	341	1374
199	343	1372
200	344	1371
201	346	1369
202	348	1370
203	351	1370
204	353	1369
205	355	1369
206	357	1370
207	360	1371
208	361	1369
209	364	1369
210	366	1369
211	368	1370
212	370	1368
213	372	1367
214	374	1366
215	375	1363
216	377	1361
217	379	1360
218	380	1358
219	382	1356
220	384	1354
221	385	1351
222	387	1349
223	388	1347
224	390	1344
225	392	1342
226	393	1340
227	395	1339
228	397	1337
229	399	1335
230	400	1333
231	402	1331
232	403	1328
233	405	1326
234	406	1323
235	408	1321
236	410	1320
237	411	1318
238	413	1316
239	414	1313
240	415	1309
241	417	1306
242	418	1304
243	420	1302
244	421	1299
245	423	1297
246	424	1294
247	427	1295
248	428	1293
249	430	1291
250	431	1288
251	433	1286
252	435	1284
253	436	1282
254	438	1279
255	439	1277
256	441	1277
257	443	1275
258	445	1273
259	446	1271
260	448	1269
261	449	1267
262	451	1264
263	452	1262
264	454	1260
265	456	1258
266	458	1257
267	459	1255
268	461	1253
269	463	1251
270	464	1249
271	466	1247
272	467	1245
273	469	1242
274	470	1240
275	472	1239
276	474	1237
277	475	1235
278	477	1233
279	478	1231
280	480	1229
281	481	1226
282	483	1224
283	484	1222
284	486	1220
285	488	1219
286	490	1218
287	492	1216
288	493	1214
289	495	1212
290	496	1210
291	498	1208
292	499	1206
293	501	1204
