image_name,sl_1,sl_2,sl_3,sl_4,sl_5,sl_6,sl_7,sl_8,sl_9,sl_10,sl_11,sl_12,target
Image00429.tif,65162.0,32733.0,16393.0,8271.0,4051.0,2005.0,1080.0,543.0,276.0,115.0,62.0,40.0,1.0
Image00401.tif,64138.0,30878.0,15514.0,8173.0,4206.0,2210.0,1174.0,642.0,313.0,195.0,109.0,75.0,1.0
Image00367.tif,64103.0,32324.0,16359.0,8361.0,4064.0,2160.0,1071.0,521.0,278.0,139.0,79.0,54.0,1.0
Image00373.tif,61972.0,31350.0,15999.0,8367.0,4243.0,2204.0,1170.0,618.0,341.0,177.0,105.0,63.0,1.0
Image00415.tif,56548.0,28050.0,14501.0,8000.0,4382.0,2574.0,1552.0,1002.0,634.0,414.0,263.0,167.0,1.0
Image00398.tif,61032.0,30528.0,15684.0,8035.0,4201.0,2201.0,1203.0,638.0,382.0,252.0,139.0,104.0,1.0
Image00159.tif,52966.0,26804.0,14158.0,7860.0,4367.0,2616.0,1575.0,1013.0,676.0,451.0,334.0,201.0,1.0
Image00165.tif,61477.0,31406.0,15788.0,8144.0,4223.0,2306.0,1227.0,658.0,339.0,222.0,128.0,67.0,1.0
Image00603.tif,64900.0,32486.0,16446.0,8101.0,4181.0,2079.0,1013.0,562.0,265.0,136.0,85.0,31.0,1.0
Image00617.tif,64494.0,32332.0,16451.0,8223.0,4101.0,2155.0,1120.0,531.0,267.0,122.0,73.0,27.0,1.0
Image00171.tif,64098.0,32570.0,16485.0,8400.0,4055.0,2073.0,1044.0,506.0,271.0,150.0,77.0,33.0,1.0
Image00824.tif,54556.0,26849.0,13605.0,7331.0,4134.0,2414.0,1463.0,950.0,593.0,438.0,319.0,231.0,1.0
Image00830.tif,53567.0,25683.0,13323.0,7193.0,4276.0,2491.0,1641.0,1002.0,760.0,551.0,373.0,285.0,1.0
Image00818.tif,47854.0,24185.0,13060.0,7684.0,4551.0,2754.0,1829.0,1123.0,795.0,587.0,399.0,288.0,1.0
Image00993.tif,52334.0,25634.0,12876.0,6672.0,3579.0,1892.0,1035.0,673.0,422.0,258.0,187.0,123.0,1.0
Image00987.tif,49001.0,24774.0,12226.0,5964.0,3149.0,1563.0,807.0,402.0,201.0,100.0,55.0,28.0,1.0
Image00039.tif,58063.0,29533.0,15429.0,8217.0,4465.0,2426.0,1391.0,773.0,431.0,273.0,166.0,116.0,1.0
Image00011.tif,56469.0,28026.0,14463.0,7651.0,4276.0,2426.0,1387.0,903.0,547.0,355.0,239.0,180.0,1.0
Image00777.tif,65228.0,32932.0,16303.0,8161.0,4028.0,2050.0,1082.0,514.0,252.0,146.0,70.0,32.0,1.0
Image00763.tif,65368.0,32429.0,16384.0,8265.0,4134.0,1998.0,1055.0,536.0,279.0,123.0,69.0,32.0,1.0
Image00005.tif,64821.0,32262.0,16245.0,8170.0,4171.0,2154.0,998.0,549.0,277.0,145.0,71.0,46.0,1.0
Image00788.tif,58986.0,29426.0,15000.0,7472.0,3917.0,2128.0,1214.0,654.0,403.0,248.0,162.0,132.0,1.0
Image00950.tif,60996.0,30053.0,15109.0,7717.0,4077.0,2084.0,1135.0,644.0,363.0,258.0,141.0,97.0,1.0
Image00944.tif,56265.0,28470.0,14279.0,7298.0,3570.0,1852.0,922.0,496.0,249.0,139.0,75.0,34.0,1.0
Image00978.tif,61073.0,30451.0,15603.0,7926.0,4174.0,2290.0,1247.0,647.0,419.0,245.0,152.0,101.0,1.0
Image00549.tif,57773.0,29166.0,14881.0,7694.0,4175.0,2272.0,1301.0,796.0,446.0,274.0,169.0,140.0,1.0
Image00575.tif,60169.0,30997.0,15843.0,8325.0,4481.0,2328.0,1305.0,725.0,345.0,190.0,103.0,48.0,1.0
