feature_1,target
1.4177047137418108e-14,1
-3.658835544551407e-14,1
-4.930523660075149e-14,1
-5.425255664865845e-14,1
7.187958184673512e-15,1
-4.0018401792612135e-14,1
-5.478533807068422e-15,1
-6.627541105868457e-14,1
5.572817530764446e-15,1
2.842934209232283e-14,1
-1.9710897048412714e-14,1
1.789375183684614e-15,1
-1.57697926075514e-14,1
-4.2159605313414194e-14,1
-1.0047375249164765e-14,1
2.886448051308618e-14,1
1.679190879507788e-14,1
-7.307817208241471e-14,1
-4.570409104960649e-15,1
-9.128948762520133e-15,1
-2.5691754827571814e-14,1
-5.638883322902985e-15,1
-3.5752567187002044e-14,1
7.0999451124347054e-15,1
-3.826889003604838e-15,1
-8.25217731769845e-15,1
-2.0220163527473892e-14,1
-9.592305114840971e-15,1
9.040263834768055e-15,1
-4.210294549846147e-15,1
4.0490492266605575e-16,1
-2.1270049742882325e-14,1
7.746941971716916e-15,1
1.0527527989317439e-14,1
-1.6343109312211306e-14,1
-3.394438004894578e-14,1
-4.756737033975118e-15,1
-2.497510894674696e-15,1
-7.664527695422052e-15,1
-1.799856129691677e-14,1
1.6146031694984464e-14,1
1.2498304161585842e-14,1
-9.352228744764657e-16,1
1.107934531755259e-14,1
7.567780501510689e-15,1
1.6267861494724698e-14,1
2.666639322549365e-14,1
-1.3272057761038955e-14,1
-9.081023069239972e-15,1
2.9411146949052926e-14,1
1.0828519259263879e-14,0
2.3871474290276636e-14,0
1.9851314850686833e-14,0
3.651758666478262e-15,0
1.692135295730187e-14,0
4.600866554895711e-15,0
2.359198239675492e-14,0
1.2111315385940411e-14,0
-3.0457449935057235e-15,0
1.1824657033610454e-14,0
-6.225189234152837e-15,0
-6.164050382444964e-15,0
1.3460849160268751e-14,0
-2.055407571757073e-14,0
-8.010757236595571e-15,0
-5.100727056771056e-15,0
-5.994742793100088e-15,0
-4.586533637279208e-16,0
4.600866554895705e-15,0
-2.4751157108989167e-15,0
1.048452923646794e-14,0
-4.51227120787873e-14,0
-1.6300782414875088e-14,0
-1.2112883048804715e-14,0
-2.029675505598704e-15,0
8.657082240364505e-15,0
6.274234686621789e-15,0
4.8911081366297806e-15,0
-2.95258102899849e-15,0
1.2376474361845615e-14,0
-9.164109201048085e-16,0
5.858580075743362e-15,0
1.6894926640446455e-14,0
-8.796380283449841e-15,0
-4.822130970600386e-15,0
-1.5615713743174057e-14,0
-2.472428288845824e-15,0
8.248594088294324e-15,0
-4.14006325352531e-14,0
-2.7925898361043364e-14,0
-1.2261811020913632e-14,0
-9.355811974168761e-15,0
-2.676851526351119e-14,0
1.6482855258972077e-16,0
-1.6683516105603124e-14,0
2.317095294177031e-14,0
1.9531735578206487e-14,0
-9.440017865165684e-15,0
-3.311172711616239e-14,0
5.346178270953577e-14,0
