,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,label
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,1681.0,576.0,1681.0,69696.0,120409.0,69696.0,120409.0,161604.0,114921.0,161604.0,114921.0,356409.0,462400.0,356409.0,462400.0,747360.25,928332.25,747360.25,928332.25,1295044.0,1422056.25,1295044.0,1422056.25,1125721.0,955506.25,1125721.0,955506.25,1431612.25,2124306.25,1431612.25,2124306.25,3892729.0,3223820.25,3892729.0,3223820.25,1199025.0,1104601.0,1199025.0,1104601.0,758641.0,671580.25,758641.0,671580.25,339889.0,260610.25,339889.0,260610.25,582932.25,751689.0,582932.25,751689.0,2184484.0,2106852.25,2184484.0,2106852.25,1411344.0,1280292.25,1411344.0,1280292.25,2212656.25,2143296.0,2212656.25,2143296.0,2399401.0,2085136.0,2399401.0,2085136.0,495616.0,483720.25,495616.0,483720.25,417962.25,372710.25,417962.25,372710.25,332352.25,371490.25,332352.25,371490.25,841806.25,906304.0,841806.25,906304.0,1036324.0,791210.25,1036324.0,791210.25,1950212.25,5664400.0,1950212.25,5664400.0,13024881.0,9891025.0,13024881.0,9891025.0,5391684.0,5053504.0,5391684.0,5053504.0,6436369.0,8079806.25,6436369.0,8079806.25,9446402.25,10329796.0,9446402.25,10329796.0,9696996.0,9637920.25,9696996.0,9637920.25,5370806.25,2844282.25,5370806.25,2844282.25,474721.0,106602.25,474721.0,106602.25,841.0,64.0,841.0,64.0,1.0,0.25,1.0,0.25,6.25,2.25,6.25,2.25,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,30.25,0.25,30.25,23256.25,69696.0,23256.25,69696.0,474721.0,633616.0,474721.0,633616.0,1185921.0,1053702.25,1185921.0,1053702.25,1652510.25,1470156.25,1652510.25,1470156.25,1224342.25,1187010.25,1224342.25,1187010.25,931225.0,964324.0,931225.0,964324.0,691392.25,728462.25,691392.25,728462.25,460362.25,429025.0,460362.25,429025.0,269361.0,295936.0,269361.0,295936.0,334084.0,340472.25,334084.0,340472.25,364212.25,312481.0,364212.25,312481.0,315844.0,269361.0,315844.0,269361.0,270400.0,309692.25,270400.0,309692.25,248004.0,210222.25,248004.0,210222.25,207480.25,184470.25,207480.25,184470.25,165649.0,169332.25,165649.0,169332.25,132496.0,132860.25,132496.0,132860.25,113232.25,98910.25,113232.25,98910.25,96721.0,92720.25,96721.0,92720.25,82944.0,106276.0,82944.0,106276.0,110889.0,119025.0,110889.0,119025.0,96721.0,69432.25,96721.0,69432.25,47961.0,53130.25,47961.0,53130.25,34782.25,24336.0,34782.25,24336.0,21609.0,26896.0,21609.0,26896.0,55932.25,57360.25,55932.25,57360.25,45369.0,43056.25,45369.0,43056.25,39204.0,43681.0,39204.0,43681.0,63756.25,82082.25,63756.25,82082.25,85556.25,101761.0,85556.25,101761.0,117992.25,109561.0,117992.25,109561.0,160000.0,167281.0,160000.0,167281.0,253009.0,242556.25,253009.0,242556.25,274052.25,290521.0,274052.25,290521.0,784996.0,1093070.25,784996.0,1093070.25,1533882.25,1647372.25,1533882.25,1647372.25,2149156.0,2540836.0,2149156.0,2540836.0,3886812.25,3786916.0,3886812.25,3786916.0,2278590.25,2742336.0,2278590.25,2742336.0,5112121.0,7403841.0,5112121.0,7403841.0,11495490.25,8065600.0,11495490.25,8065600.0,1616712.25,1372412.25,1616712.25,1372412.25,902500.0,748225.0,902500.0,748225.0,608400.0,771762.25,608400.0,771762.25,2629262.25,3038049.0,2629262.25,3038049.0,5449890.25,6027025.0,5449890.25,6027025.0,4305625.0,3523129.0,4305625.0,3523129.0,859329.0,487902.25,859329.0,487902.25,9604.0,961.0,9604.0,961.0,169.0,169.0,169.0,169.0,256.0,529.0,256.0,529.0,324.0,380.25,324.0,380.25,272.25,225.0,272.25,225.0,272.25,72.25,272.25,72.25,49.0,81.0,49.0,81.0,9.0,2.25,9.0,2.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,3660.25,39204.0,3660.25,39204.0,1003002.25,1912689.0,1003002.25,1912689.0,5345344.0,7543262.25,5345344.0,7543262.25,12478556.25,14051252.25,12478556.25,14051252.25,15547249.0,14622976.0,15547249.0,14622976.0,15729156.0,15828462.25,15729156.0,15828462.25,13289670.25,13752972.25,13289670.25,13752972.25,10647169.0,8970025.0,10647169.0,8970025.0,7868025.0,8165306.25,7868025.0,8165306.25,6822544.0,6744409.0,6822544.0,6744409.0,6235009.0,5612161.0,6235009.0,5612161.0,4594592.25,3918420.25,4594592.25,3918420.25,2343961.0,1799622.25,2343961.0,1799622.25,1084722.25,1142761.0,1084722.25,1142761.0,663410.25,592130.25,663410.25,592130.25,362404.0,313040.25,362404.0,313040.25,190096.0,159600.25,190096.0,159600.25,108570.25,73984.0,108570.25,73984.0,38416.0,38220.25,38416.0,38220.25,22350.25,13572.25,22350.25,13572.25,10816.0,13456.0,10816.0,13456.0,6972.25,4970.25,6972.25,4970.25,2304.0,2116.0,2304.0,2116.0,2401.0,2256.25,2401.0,2256.25,1056.25,1764.0,1056.25,1764.0,1024.0,961.0,1024.0,961.0,756.25,1225.0,756.25,1225.0,2025.0,2162.25,2025.0,2162.25,1722.25,2550.25,1722.25,2550.25,6724.0,9216.0,6724.0,9216.0,6972.25,11990.25,6972.25,11990.25,13225.0,13456.0,13225.0,13456.0,21609.0,28730.25,21609.0,28730.25,26569.0,33489.0,26569.0,33489.0,28056.25,34969.0,28056.25,34969.0,48841.0,47524.0,48841.0,47524.0,50625.0,34596.0,50625.0,34596.0,27722.25,32580.25,27722.25,32580.25,26732.25,12656.25,26732.25,12656.25,6724.0,7140.25,6724.0,7140.25,3540.25,2809.0,3540.25,2809.0,2304.0,1640.25,2304.0,1640.25,900.0,484.0,900.0,484.0,380.25,225.0,380.25,225.0,49.0,289.0,49.0,289.0,342.25,72.25,342.25,72.25,49.0,110.25,49.0,110.25,72.25,42.25,72.25,42.25,110.25,42.25,110.25,42.25,16.0,20.25,16.0,20.25,36.0,4.0,36.0,4.0,36.0,0.25,36.0,0.25,4.0,2.25,4.0,2.25,30.25,16.0,30.25,16.0,2.25,2.25,2.25,2.25,9.0,12.25,9.0,12.25,20.25,4.0,20.25,4.0,9.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.25,0.25,2.25,36.0,20.25,36.0,20.25,81.0,169.0,81.0,169.0,650.25,1122.25,650.25,1122.25,2652.25,4356.0,2652.25,4356.0,5700.25,10712.25,5700.25,10712.25,15376.0,21609.0,15376.0,21609.0,28056.25,31684.0,28056.25,31684.0,34596.0,49284.0,34596.0,49284.0,73984.0,75350.25,73984.0,75350.25,121452.25,133956.0,121452.25,133956.0,200256.25,264710.25,200256.25,264710.25,293222.25,358801.0,293222.25,358801.0,541696.0,598302.25,541696.0,598302.25,700569.0,911070.25,700569.0,911070.25,1049600.25,1098304.0,1049600.25,1098304.0,1279161.0,1200120.25,1279161.0,1200120.25,1270129.0,1054729.0,1270129.0,1054729.0,987042.25,895862.25,987042.25,895862.25,917764.0,724201.0,917764.0,724201.0,623310.25,674862.25,623310.25,674862.25,501972.25,456976.0,501972.25,456976.0,262656.25,253009.0,262656.25,253009.0,138756.25,96410.25,138756.25,96410.25,93942.25,111222.25,93942.25,111222.25,254016.0,389376.0,254016.0,389376.0,1099352.25,1210000.0,1099352.25,1210000.0,1883756.25,2057790.25,1883756.25,2057790.25,1859132.25,1779556.0,1859132.25,1779556.0,2203740.25,2411809.0,2203740.25,2411809.0,3926342.25,3794704.0,3926342.25,3794704.0,3310580.25,2684682.25,3310580.25,2684682.25,2272556.25,2178576.0,2272556.25,2178576.0,1408969.0,1155625.0,1408969.0,1155625.0,656100.0,483720.25,656100.0,483720.25,190096.0,148610.25,190096.0,148610.25,97344.0,95172.25,97344.0,95172.25,101442.25,87616.0,101442.25,87616.0,93636.0,84972.25,93636.0,84972.25,91809.0,80940.25,91809.0,80940.25,92112.25,102400.0,92112.25,102400.0,105300.25,114244.0,105300.25,114244.0,105950.25,128881.0,105950.25,128881.0,172640.25,195364.0,172640.25,195364.0,609961.0,1361889.0,609961.0,1361889.0,4412100.25,4904010.25,4412100.25,4904010.25,4851006.25,4846602.25,4851006.25,4846602.25,5579044.0,6150400.0,5579044.0,6150400.0,3152400.25,2175625.0,3152400.25,2175625.0,876096.0,807302.25,876096.0,807302.25,297025.0,200256.25,297025.0,200256.25,120409.0,88209.0,120409.0,88209.0,48180.25,28224.0,48180.25,28224.0,9216.0,8930.25,9216.0,8930.25,3422.25,2162.25,3422.25,2162.25,1444.0,961.0,1444.0,961.0,380.25,132.25,380.25,132.25,12.25,0.25,12.25,0.25,1
4,0.0,0.0,0.0,0.0,30.25,1444.0,30.25,1444.0,14762.25,28900.0,14762.25,28900.0,39006.25,40401.0,39006.25,40401.0,87320.25,78120.25,87320.25,78120.25,185761.0,182329.0,185761.0,182329.0,260100.0,315282.25,260100.0,315282.25,479556.25,492804.0,479556.25,492804.0,582169.0,688070.25,582169.0,688070.25,964324.0,1202312.25,964324.0,1202312.25,1725282.25,1703025.0,1725282.25,1703025.0,2233530.25,2584056.25,2233530.25,2584056.25,2832489.0,3281532.25,2832489.0,3281532.25,3446592.25,3102882.25,3446592.25,3102882.25,2650384.0,2724150.25,2650384.0,2724150.25,2296740.25,2085136.0,2296740.25,2085136.0,1823850.25,1794260.25,1823850.25,1794260.25,1561250.25,1452025.0,1561250.25,1452025.0,1279161.0,1222130.25,1279161.0,1222130.25,1262252.25,1260006.25,1262252.25,1260006.25,1030225.0,864900.0,1030225.0,864900.0,838140.25,718256.25,838140.25,718256.25,632025.0,649636.0,632025.0,649636.0,457652.25,414736.0,457652.25,414736.0,360600.25,332352.25,360600.25,332352.25,251001.0,224202.25,251001.0,224202.25,190969.0,178084.0,190969.0,178084.0,166464.0,159600.25,166464.0,159600.25,168510.25,178506.25,168510.25,178506.25,161604.0,137270.25,161604.0,137270.25,168921.0,165649.0,168921.0,165649.0,173472.25,170156.25,173472.25,170156.25,212521.0,155236.0,212521.0,155236.0,180200.25,193600.0,180200.25,193600.0,174724.0,182756.25,174724.0,182756.25,173056.0,212521.0,173056.0,212521.0,233289.0,246016.0,233289.0,246016.0,232324.0,218089.0,232324.0,218089.0,232324.0,232806.25,232324.0,232806.25,267289.0,232806.25,267289.0,232806.25,279312.25,257049.0,279312.25,257049.0,250500.25,311922.25,250500.25,311922.25,323192.25,306916.0,323192.25,306916.0,352242.25,336400.0,352242.25,336400.0,340472.25,349872.25,340472.25,349872.25,425104.0,317532.25,425104.0,317532.25,366025.0,378225.0,366025.0,378225.0,369664.0,456976.0,369664.0,456976.0,387506.25,346332.25,387506.25,346332.25,400689.0,369056.25,400689.0,369056.25,323761.0,410240.25,323761.0,410240.25,314721.0,353430.25,314721.0,353430.25,261632.25,283556.25,261632.25,283556.25,262656.25,209306.25,262656.25,209306.25,190096.0,160801.0,190096.0,160801.0,174306.25,160000.0,174306.25,160000.0,152100.0,114582.25,152100.0,114582.25,120409.0,106929.0,120409.0,106929.0,82082.25,90902.25,82082.25,90902.25,46656.0,41006.25,46656.0,41006.25,24649.0,19740.25,24649.0,19740.25,11236.0,10404.0,11236.0,10404.0,3660.25,3136.0,3660.25,3136.0,1122.25,400.0,1122.25,400.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.0,0.25,4.0,36.0,552.25,36.0,552.25,2500.0,3025.0,2500.0,3025.0,19321.0,21904.0,19321.0,21904.0,57360.25,69696.0,57360.25,69696.0,120756.25,135424.0,120756.25,135424.0,164025.0,168100.0,164025.0,168100.0,169332.25,191406.25,169332.25,191406.25,208392.25,233772.25,208392.25,233772.25,271441.0,257556.25,271441.0,257556.25,326041.0,318096.0,326041.0,318096.0,393129.0,362404.0,393129.0,362404.0,501972.25,559504.0,501972.25,559504.0,529256.25,502681.0,529256.25,502681.0,624100.0,634412.25,624100.0,634412.25,754292.25,733592.25,754292.25,733592.25,744769.0,775280.25,744769.0,775280.25,939930.25,782340.25,939930.25,782340.25,937992.25,1047552.25,937992.25,1047552.25,950625.0,1014049.0,950625.0,1014049.0,1077444.0,1041420.25,1077444.0,1041420.25,1122540.25,1103550.25,1122540.25,1103550.25,1038361.0,1087849.0,1038361.0,1087849.0,1114080.25,1113025.0,1114080.25,1113025.0,1253280.25,1185921.0,1253280.25,1185921.0,1129969.0,1080560.25,1129969.0,1080560.25,1295044.0,1262252.25,1295044.0,1262252.25,1202312.25,1272384.0,1202312.25,1272384.0,1317904.0,1248806.25,1317904.0,1248806.25,1343281.0,1290496.0,1343281.0,1290496.0,1274641.0,1392400.0,1274641.0,1392400.0,1293906.25,1267876.0,1293906.25,1267876.0,1194649.0,1418481.0,1194649.0,1418481.0,1057812.25,1184832.25,1057812.25,1184832.25,1103550.25,1059870.25,1103550.25,1059870.25,871422.25,958441.0,871422.25,958441.0,801920.25,763002.25,801920.25,763002.25,656910.25,669942.25,656910.25,669942.25,627264.0,585990.25,627264.0,585990.25,522729.0,561750.25,522729.0,561750.25,483720.25,492804.0,483720.25,492804.0,394384.0,405769.0,394384.0,405769.0,338142.25,347510.25,338142.25,347510.25,347510.25,346332.25,347510.25,346332.25,318660.25,267806.25,318660.25,267806.25,244530.25,248004.0,244530.25,248004.0,232324.0,239121.0,232324.0,239121.0,167690.25,192721.0,167690.25,192721.0,181902.25,164836.0,181902.25,164836.0,127092.25,128522.25,127092.25,128522.25,126736.0,136530.25,126736.0,136530.25,82944.0,94249.0,82944.0,94249.0,69432.25,62250.25,69432.25,62250.25,50625.0,46225.0,50625.0,46225.0,33672.25,34969.0,33672.25,34969.0,28900.0,24180.25,28900.0,24180.25,19182.25,18090.25,19182.25,18090.25,15750.25,16384.0,15750.25,16384.0,13456.0,13924.0,13456.0,13924.0,17956.0,19881.0,17956.0,19881.0,251001.0,1515361.0,251001.0,1515361.0,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,2.25,0.0,110.25,462.25,110.25,462.25,1056.25,3136.0,1056.25,3136.0,4160.25,5041.0,4160.25,5041.0,9216.0,11664.0,9216.0,11664.0,13340.25,17292.25,13340.25,17292.25,17956.0,16002.25,17956.0,16002.25,19881.0,18360.25,19881.0,18360.25,18632.25,16770.25,18632.25,16770.25,21316.0,25281.0,21316.0,25281.0,18906.25,22500.0,18906.25,22500.0,21170.25,27556.0,21170.25,27556.0,35910.25,32761.0,35910.25,32761.0,29929.0,32041.0,29929.0,32041.0,45156.25,57600.0,45156.25,57600.0,108570.25,126380.25,108570.25,126380.25,144780.25,121801.0,144780.25,121801.0,117992.25,142129.0,117992.25,142129.0,144780.25,181902.25,144780.25,181902.25,219961.0,204756.25,219961.0,204756.25,228484.0,187056.25,228484.0,187056.25,181476.0,189660.25,181476.0,189660.25,190532.25,170156.25,190532.25,170156.25,185761.0,157609.0,185761.0,157609.0,170569.0,170569.0,170569.0,170569.0,155236.0,175142.25,155236.0,175142.25,208849.0,221841.0,208849.0,221841.0,183184.0,207480.25,183184.0,207480.25,212521.0,258064.0,212521.0,258064.0,809100.25,1103550.25,809100.25,1103550.25,1804992.25,2049192.25,1804992.25,2049192.25,2650384.0,2717552.25,2650384.0,2717552.25,2394756.25,2155024.0,2394756.25,2155024.0,1629452.25,1629452.25,1629452.25,1629452.25,1460472.25,1460472.25,1460472.25,1460472.25,1417290.25,1472582.25,1417290.25,1472582.25,1660232.25,1821150.25,1660232.25,1821150.25,2284632.25,2127222.25,2284632.25,2127222.25,2830806.25,2985984.0,2830806.25,2985984.0,3202310.25,3241800.25,3202310.25,3241800.25,2080806.25,1646089.0,2080806.25,1646089.0,1006009.0,769129.0,1006009.0,769129.0,342225.0,295936.0,342225.0,295936.0,187056.25,123904.0,187056.25,123904.0,72900.0,60762.25,72900.0,60762.25,49506.25,34410.25,49506.25,34410.25,22201.0,23104.0,22201.0,23104.0,11881.0,11772.25,11881.0,11772.25,11025.0,12882.25,11025.0,12882.25,9409.0,6724.0,9409.0,6724.0,6241.0,4900.0,6241.0,4900.0,1681.0,3364.0,1681.0,3364.0,3025.0,2756.25,3025.0,2756.25,1936.0,2970.25,1936.0,2970.25,992.25,5852.25,992.25,5852.25,325470.25,759512.25,325470.25,759512.25,1848240.25,3078270.25,1848240.25,3078270.25,7614840.25,14333796.0,7614840.25,14333796.0,13457892.25,15737089.0,13457892.25,15737089.0,12404484.0,1097256.25,12404484.0,1097256.25,0.0,0.25,0.0,0.25,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,36.0,12.25,36.0,100.0,930.25,100.0,930.25,1681.0,1764.0,1681.0,1764.0,4160.25,5852.25,4160.25,5852.25,13924.0,16256.25,13924.0,16256.25,39204.0,52900.0,39204.0,52900.0,86436.0,150156.25,86436.0,150156.25,313600.0,364816.0,313600.0,364816.0,720801.0,818120.25,720801.0,818120.25,1460472.25,1758276.0,1460472.25,1758276.0,2199289.0,2177100.25,2199289.0,2177100.25,2226064.0,2458624.0,2226064.0,2458624.0,2156492.25,2194842.25,2156492.25,2194842.25,1840092.25,1838736.0,1840092.25,1838736.0,1086806.25,987042.25,1086806.25,987042.25,727609.0,656910.25,727609.0,656910.25,656100.0,670761.0,656100.0,670761.0,583696.0,570025.0,583696.0,570025.0,673220.25,730170.25,673220.25,730170.25,725904.0,836310.25,725904.0,836310.25,756030.25,823556.25,756030.25,823556.25,813604.0,966289.0,813604.0,966289.0,851006.25,783225.0,851006.25,783225.0,628056.25,546860.25,628056.25,546860.25,381306.25,362404.0,381306.25,362404.0,328902.25,386262.25,328902.25,386262.25,320356.0,329476.0,320356.0,329476.0,413449.0,392502.25,413449.0,392502.25,538022.25,554280.25,538022.25,554280.25,636006.25,676506.25,636006.25,676506.25,674862.25,648025.0,674862.25,648025.0,533630.25,446224.0,533630.25,446224.0,326612.25,298662.25,326612.25,298662.25,192282.25,150156.25,192282.25,150156.25,74529.0,68644.0,74529.0,68644.0,178929.0,326612.25,178929.0,326612.25,252506.25,160400.25,252506.25,160400.25,234740.25,543169.0,234740.25,543169.0,2379306.25,2363906.25,2379306.25,2363906.25,1149184.0,955506.25,1149184.0,955506.25,1010025.0,742182.25,1010025.0,742182.25,164430.25,195806.25,164430.25,195806.25,145924.0,126736.0,145924.0,126736.0,113232.25,119025.0,113232.25,119025.0,68382.25,68644.0,68382.25,68644.0,53824.0,49506.25,53824.0,49506.25,54056.25,54990.25,54056.25,54990.25,46656.0,39204.0,46656.0,39204.0,48620.25,42849.0,48620.25,42849.0,58322.25,58806.25,58322.25,58806.25,95790.25,126380.25,95790.25,126380.25,298116.0,480942.25,298116.0,480942.25,659344.0,688070.25,659344.0,688070.25,704760.25,675684.0,704760.25,675684.0,418609.0,375156.25,418609.0,375156.25,313600.0,231842.25,313600.0,231842.25,163216.0,138756.25,163216.0,138756.25,98596.0,78120.25,98596.0,78120.25,74802.25,83232.25,74802.25,83232.25,128881.0,538756.0,128881.0,538756.0,5692996.0,1238769.0,5692996.0,1238769.0,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.25,90.25,72.25,90.25,420.25,2025.0,420.25,2025.0,16129.0,31862.25,16129.0,31862.25,191406.25,270920.25,191406.25,270920.25,729316.0,842724.0,729316.0,842724.0,1283689.0,1499400.25,1283689.0,1499400.25,2660161.0,2862864.0,2660161.0,2862864.0,3161284.0,3120522.25,3161284.0,3120522.25,2937796.0,2707670.25,2937796.0,2707670.25,2080806.25,1844164.0,2080806.25,1844164.0,1391220.25,1353732.25,1391220.25,1353732.25,1363056.25,1265625.0,1363056.25,1265625.0,1500625.0,1512900.0,1500625.0,1512900.0,1416100.0,1506756.25,1416100.0,1506756.25,1652510.25,1610361.0,1652510.25,1610361.0,1756950.25,1927932.25,1756950.25,1927932.25,1730540.25,1897506.25,1730540.25,1897506.25,1717410.25,1701720.25,1717410.25,1701720.25,1586340.25,1496952.25,1586340.25,1496952.25,1436402.25,1337492.25,1436402.25,1337492.25,1321350.25,1088892.25,1321350.25,1088892.25,974169.0,1000000.0,974169.0,1000000.0,828100.0,724201.0,828100.0,724201.0,540225.0,556516.0,540225.0,556516.0,388129.0,367236.0,388129.0,367236.0,292681.0,287296.0,292681.0,287296.0,224676.0,177241.0,224676.0,177241.0,142884.0,129960.25,142884.0,129960.25,73984.0,68906.25,73984.0,68906.25,53592.25,47524.0,53592.25,47524.0,44521.0,30450.25,44521.0,30450.25,24806.25,19600.0,24806.25,19600.0,16384.0,17030.25,16384.0,17030.25,13340.25,15625.0,13340.25,15625.0,16002.25,16641.0,16002.25,16641.0,13340.25,23409.0,13340.25,23409.0,22801.0,22201.0,22801.0,22201.0,136900.0,328902.25,136900.0,328902.25,3191582.25,7834401.0,3191582.25,7834401.0,14417209.0,8091180.25,14417209.0,8091180.25,2289169.0,1677025.0,2289169.0,1677025.0,364212.25,181476.0,364212.25,181476.0,37249.0,33124.0,37249.0,33124.0,44310.25,39601.0,44310.25,39601.0,43681.0,59292.25,43681.0,59292.25,50400.25,51984.0,50400.25,51984.0,64009.0,66564.0,64009.0,66564.0,82656.25,63001.0,82656.25,63001.0,62250.25,73170.25,62250.25,73170.25,61009.0,52441.0,61009.0,52441.0,47089.0,22201.0,47089.0,22201.0,21462.25,20164.0,21462.25,20164.0,10506.25,10302.25,10506.25,10302.25,5041.0,2500.0,5041.0,2500.0,1369.0,930.25,1369.0,930.25,6.25,2.25,6.25,2.25,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,36.0,225.0,36.0,225.0,625.0,1089.0,625.0,1089.0,4032.25,2862.25,4032.25,2862.25,13225.0,9604.0,13225.0,9604.0,19182.25,14520.25,19182.25,14520.25,14161.0,15376.0,14161.0,15376.0,26569.0,31862.25,26569.0,31862.25,46872.25,48841.0,46872.25,48841.0,86436.0,102400.0,86436.0,102400.0,129240.25,212982.25,129240.25,212982.25,323761.0,323761.0,323761.0,323761.0,576081.0,696390.25,576081.0,696390.25,1142761.0,1182656.25,1142761.0,1182656.25,1950212.25,2385480.25,1950212.25,2385480.25,3420650.25,3418801.0,3420650.25,3418801.0,4691556.0,5073756.25,4691556.0,5073756.25,5738420.25,5494336.0,5738420.25,5494336.0,6000050.25,6195121.0,6000050.25,6195121.0,5527201.0,5105340.25,5527201.0,5105340.25,4530512.25,4780782.25,4530512.25,4780782.25,3556996.0,3352561.0,3556996.0,3352561.0,2632506.25,2274064.0,2632506.25,2274064.0,2026352.25,1646089.0,2026352.25,1646089.0,1248806.25,1188100.0,1248806.25,1188100.0,855625.0,789432.25,855625.0,789432.25,548340.25,482330.25,548340.25,482330.25,263682.25,207025.0,263682.25,207025.0,134689.0,115600.0,134689.0,115600.0,86436.0,92720.25,86436.0,92720.25,78400.0,66822.25,78400.0,66822.25,49284.0,59292.25,49284.0,59292.25,61009.0,69960.25,61009.0,69960.25,60270.25,60762.25,60270.25,60762.25,93025.0,62001.0,93025.0,62001.0,66822.25,84100.0,66822.25,84100.0,80656.0,108241.0,80656.0,108241.0,87320.25,88506.25,87320.25,88506.25,103041.0,85849.0,103041.0,85849.0,118336.0,110556.25,118336.0,110556.25,108900.0,100806.25,108900.0,100806.25,118336.0,125316.0,118336.0,125316.0,116964.0,114921.0,116964.0,114921.0,126380.25,109230.25,126380.25,109230.25,115260.25,105300.25,115260.25,105300.25,119025.0,119716.0,119025.0,119716.0,104976.0,110889.0,104976.0,110889.0,130682.25,105300.25,130682.25,105300.25,117649.0,106602.25,117649.0,106602.25,136161.0,109892.25,136161.0,109892.25,120756.25,127806.25,120756.25,127806.25,143262.25,112896.0,143262.25,112896.0,119370.25,120756.25,119370.25,120756.25,120756.25,113569.0,120756.25,113569.0,147840.25,111222.25,147840.25,111222.25,138012.25,133956.0,138012.25,133956.0,142129.0,147456.0,142129.0,147456.0,186624.0,203852.25,186624.0,203852.25,187056.25,220900.0,187056.25,220900.0,378840.25,436921.0,378840.25,436921.0,4351396.0,1059870.25,4351396.0,1059870.25,1
