,train,train,test,test
,accuracy,f1score,accuracy,f1score
KNeighborsClassifier {'n_neighbors': 16},0.6628571428571428,0.595890410958904,0.6233333333333333,0.5533596837944664
SVC {'kernel': 'rbf'},0.7314285714285714,0.6835016835016836,0.6166666666666667,0.5724907063197026
"PassiveAggressiveClassifier {'max_iter': 1000, 'C': 1.0}",0.6885714285714286,0.6279863481228669,0.6166666666666667,0.5525291828793775
LinearDiscriminantAnalysis {},0.7142857142857143,0.7023809523809523,0.6066666666666667,0.6092715231788081
"MLPClassifier {'hidden_layer_sizes': (128,)}",1.0,1.0,0.6066666666666667,0.6193548387096774
KNeighborsClassifier {'n_neighbors': 8},0.6842857142857143,0.6102292768959436,0.6033333333333334,0.5333333333333333
"MLPClassifier {'hidden_layer_sizes': (64, 32, 16)}",0.9985714285714286,0.9985569985569985,0.6,0.6103896103896104
"MLPClassifier {'hidden_layer_sizes': (16, 32, 16)}",1.0,1.0,0.59,0.6191950464396285
"MLPClassifier {'hidden_layer_sizes': (16, 16)}",0.9971428571428571,0.9971181556195965,0.5866666666666667,0.6050955414012739
"MLPClassifier {'hidden_layer_sizes': (64,)}",1.0,1.0,0.5866666666666667,0.5921052631578947
"MLPClassifier {'hidden_layer_sizes': (32, 32, 32)}",1.0,1.0,0.5866666666666667,0.6075949367088607
"MLPClassifier {'hidden_layer_sizes': (16, 32, 32, 16)}",1.0,1.0,0.5866666666666667,0.5921052631578947
"LogisticRegression {'max_iter': 1000, 'solver': 'saga'}",0.7242857142857143,0.7174231332357247,0.5866666666666667,0.6025641025641025
SVC {'kernel': 'linear'},0.7414285714285714,0.7388167388167387,0.5833333333333334,0.5980707395498391
"LogisticRegression {'max_iter': 1000, 'solver': 'liblinear'}",0.7228571428571429,0.7163742690058481,0.5833333333333334,0.6006389776357827
"LogisticRegression {'max_iter': 1000, 'solver': 'lbfgs'}",0.7228571428571429,0.7163742690058481,0.5833333333333334,0.6006389776357827
KNeighborsClassifier {'n_neighbors': 2},0.77,0.696798493408663,0.58,0.475
KNeighborsClassifier {'n_neighbors': 4},0.7228571428571429,0.6548042704626335,0.5766666666666667,0.4940239043824701
"MLPClassifier {'hidden_layer_sizes': (256,)}",1.0,1.0,0.5733333333333334,0.5897435897435898
DecisionTreeClassifier {'criterion': 'log_loss'},1.0,1.0,0.57,0.5930599369085174
"MLPClassifier {'hidden_layer_sizes': (128, 64, 64, 32)}",1.0,1.0,0.57,0.5930599369085174
"MLPClassifier {'hidden_layer_sizes': (32, 64, 64, 32)}",1.0,1.0,0.56,0.5796178343949044
DecisionTreeClassifier {'criterion': 'entropy'},1.0,1.0,0.5466666666666666,0.5696202531645569
GaussianNB {},0.5485714285714286,0.23671497584541068,0.5466666666666666,0.31313131313131315
SVC {'kernel': 'poly'},0.5685714285714286,0.22564102564102562,0.5366666666666666,0.2320441988950276
"MLPClassifier {'hidden_layer_sizes': (32, 32)}",1.0,1.0,0.52,0.5499999999999999
DecisionTreeClassifier {'criterion': 'gini'},1.0,1.0,0.5133333333333333,0.5197368421052633
