,train,train,test,test
,accuracy,f1score,accuracy,f1score
SVC {'kernel': 'rbf'},0.8742857142857143,0.8580645161290322,0.8066666666666666,0.7563025210084033
"MLPClassifier {'hidden_layer_sizes': (128,)}",1.0,1.0,0.7866666666666666,0.7664233576642335
"MLPClassifier {'hidden_layer_sizes': (64, 32, 16)}",1.0,1.0,0.7766666666666666,0.7581227436823105
"LogisticRegression {'max_iter': 1000, 'solver': 'saga'}",0.8914285714285715,0.8879056047197641,0.7733333333333333,0.7500000000000001
"MLPClassifier {'hidden_layer_sizes': (32, 32)}",1.0,1.0,0.7733333333333333,0.7553956834532375
"MLPClassifier {'hidden_layer_sizes': (64,)}",1.0,1.0,0.7733333333333333,0.757142857142857
"LogisticRegression {'max_iter': 1000, 'solver': 'liblinear'}",0.8942857142857142,0.8908554572271388,0.77,0.7509025270758122
"LogisticRegression {'max_iter': 1000, 'solver': 'lbfgs'}",0.8971428571428571,0.8941176470588234,0.7666666666666667,0.7482014388489209
"MLPClassifier {'hidden_layer_sizes': (16, 16)}",1.0,1.0,0.7666666666666667,0.7482014388489209
"MLPClassifier {'hidden_layer_sizes': (32, 64, 64, 32)}",1.0,1.0,0.7633333333333333,0.7508771929824561
"MLPClassifier {'hidden_layer_sizes': (256,)}",1.0,1.0,0.7633333333333333,0.7418181818181818
SVC {'kernel': 'linear'},0.9057142857142857,0.9032258064516129,0.76,0.7391304347826088
"MLPClassifier {'hidden_layer_sizes': (16, 32, 32, 16)}",1.0,1.0,0.7533333333333333,0.7430555555555556
KNeighborsClassifier {'n_neighbors': 4},0.8085714285714286,0.768166089965398,0.7533333333333333,0.6754385964912281
KNeighborsClassifier {'n_neighbors': 8},0.7957142857142857,0.7486818980667839,0.75,0.6753246753246753
"MLPClassifier {'hidden_layer_sizes': (128, 64, 64, 32)}",1.0,1.0,0.7466666666666667,0.7285714285714286
KNeighborsClassifier {'n_neighbors': 16},0.7742857142857142,0.713768115942029,0.7433333333333333,0.6547085201793722
KNeighborsClassifier {'n_neighbors': 2},0.8285714285714286,0.7959183673469388,0.7433333333333333,0.6666666666666666
"MLPClassifier {'hidden_layer_sizes': (32, 32, 32)}",1.0,1.0,0.7433333333333333,0.7220216606498194
"MLPClassifier {'hidden_layer_sizes': (16, 32, 16)}",1.0,1.0,0.7366666666666667,0.7228070175438597
LinearDiscriminantAnalysis {},0.8528571428571429,0.8403100775193798,0.7133333333333334,0.6560000000000001
DecisionTreeClassifier {'criterion': 'log_loss'},1.0,1.0,0.7,0.6853146853146853
DecisionTreeClassifier {'criterion': 'entropy'},1.0,1.0,0.6833333333333333,0.6735395189003437
DecisionTreeClassifier {'criterion': 'gini'},1.0,1.0,0.68,0.6643356643356644
"PassiveAggressiveClassifier {'max_iter': 1000, 'C': 1.0}",0.7957142857142857,0.8130718954248365,0.6666666666666666,0.6621621621621622
GaussianNB {},0.6642857142857143,0.5031712473572939,0.6633333333333333,0.4712041884816754
SVC {'kernel': 'poly'},0.62,0.3981900452488688,0.6066666666666667,0.3218390804597701
